internal_id,source_db,source_query_id,source_query_label,doi,title,authors,year,abstract,venue,doc_type,keywords,url,volume,issue,pages,publisher,is_duplicate,duplicate_of,selected
fe2a5e1c,acm,acm_extra_refs,ACM Extra Refs,10.1109/icssp.2019.00020,Evaluating Coding Behavior in Software Development Processes: A Process Mining Approach,P. Ardimento; M. Bernardi; Marta Cimitile; F. Maggi,2019,,2019 IEEE/ACM International Conference on Software and System Processes (ICSSP),conference paper,,,,,84-93,,True,e6f42f43,
87f499df,acm,acm_extra_refs,ACM Extra Refs,10.1109/clei.2018.00072,Using Process Mining in Agile Software Development Methodologies: A Systematic Mapping Study,Michael Arias; Maíra R. Marques; Eric Rojas,2018,,2018 XLIV Latin American Computer Conference (CLEI),conference paper,,,,,552-561,,True,856e84f2,
3276d785,acm,acm_extra_refs,ACM Extra Refs,10.1007/978-3-319-94214-8_34,Monitoring the Software Development Process with Process Mining,Saimir Bala; J. Mendling,2018,,,chapter,,,,,432-442,,True,6f9a5a08,
4bc51f5e,acm,acm_extra_refs,ACM Extra Refs,10.1109/icpm.2019.00020,Assessing Software Development Teams' Efficiency using Process Mining,João Caldeira; Fernando Brito e Abreu; J. Reis; J. Cardoso,2019,,2019 International Conference on Process Mining (ICPM),conference paper,,,,,65-72,,True,588a19f5,
73a6b2da,acm,acm_extra_refs,ACM Extra Refs,,Profiling Software Developers with Process Mining and N-Gram Language Models,João Caldeira; Fernando Brito e Abreu; J. Cardoso; Ricardo Ribeiro; C. Werner,2021,,arXiv,article,,,abs/2101.06733,,,,True,a86b1042,
6a2c2e16,acm,acm_extra_refs,ACM Extra Refs,10.1504/ijbpim.2011.040203,Conformance Analysis on Software Development: An Experience with Process Mining,J. Cruz; D. Ruiz,2011,,International Journal of Business Process Integration and Management,article,,,5,,109-120,,False,,
6fb55bed,acm,acm_extra_refs,ACM Extra Refs,10.1007/978-3-032-03708-4_22,Bottleneck Analysis in Software Development: A Case Study Using Process Mining,Rodrigo Almeida de Oliveira; Juliano de Paulo Ribeiro; Edson Emílio Scalabrin,2025,,,chapter,,,,,267-278,,True,9ea592cd,
17ddaacd,acm,acm_extra_refs,ACM Extra Refs,10.1007/978-3-319-67383-7_14,An Exploratory Study on Usage of Process Mining in Agile Software Development,S. Erdem; Onur Demirörs,2017,,,chapter,,,,,187-196,,True,2e76e921,
f6790afb,acm,acm_extra_refs,ACM Extra Refs,10.1007/978-3-030-00623-5_20,Systematic Mapping Study on Process Mining in Agile Software Development,S. Erdem; Onur Demirörs; F. Rabhi,2018,,,chapter,,,,,289-299,,True,0d4ebe86,
9fe86c00,acm,acm_extra_refs,ACM Extra Refs,10.1016/j.procs.2021.12.191,Business Process Analysis of Programmer Job Role in Software Development Using Process Mining,R. Fauzi; R. Andreswari,2022,,Procedia Computer Science,article,,,,,,,True,abfd6b2e,
00f2dde1,acm,acm_extra_refs,ACM Extra Refs,10.5220/0011850500003464,Mapping Process Mining Techniques to Agile Software Development Perspectives,Cyrine Feres; S. Ghannouchi; R. Martinho,2023,,,conference paper,,,,,428-435,,True,5b7858a6,
cc857a18,acm,acm_extra_refs,ACM Extra Refs,10.1007/s12599-024-00906-2,A Portfolio Management Method for Process Mining-Enabled Business Process Improvement Projects,D. Fischer; Laura Marcus; Maximilian Röglinger,2024,,Business & Information Systems Engineering,article,,,67,,855-876,,False,,
8465a1d1,acm,acm_extra_refs,ACM Extra Refs,10.1108/bpmj-03-2020-0112,"Adoption, Use and Management of Process Mining in Practice",Thomas Grisold; J. Mendling; Markus Otto; J. Brocke,2020,,Business Process Management Journal,article,,,27,,369-387,,False,,
a06287d8,acm,acm_extra_refs,ACM Extra Refs,10.4018/978-1-4666-4667-4.ch014,An Integrated Infrastructure Using Process Mining Techniques for Software Process Verification,Tuğba Gürgen; Ayça Tarhan; N. A. Karagöz,2013,,,chapter,,,,,364-382,,True,e454d548,
fea96924,acm,acm_extra_refs,ACM Extra Refs,10.1007/978-3-319-48523-2_5,Process Mining Applications in Software Engineering,Brian Felipe Keith-Norambuena; Vianca Vega,2016,,,chapter,,,,,47-56,,True,3ef399e6,
472e7acc,acm,acm_extra_refs,ACM Extra Refs,10.1016/j.jjimei.2022.100141,Enterprise Information Management Systems Development: Two Cases of Mining for Process Conformance,Elia Kouzari; Lazaros Sotiriadis; I. Stamelos,2023,,International Journal of Information Management Data Insights,article,,,3,,100141,,False,,
d800bf2b,acm,acm_extra_refs,ACM Extra Refs,10.1109/icssp.2019.00021,Using Constraint Mining to Analyze Software Development Processes,Thomas Krismayer; Christoph Mayr-Dorn; Johann Tuder; R. Rabiser; P. Grünbacher,2019,,2019 IEEE/ACM International Conference on Software and System Processes (ICSSP),conference paper,,,,,94-103,,True,ffef36df,
0c44895f,acm,acm_extra_refs,ACM Extra Refs,10.1109/icsmc.2011.6083858,Using Process Mining in Software Development Process Management: A Case Study,Artini M. Lemos; Caio C. Sabino; R. Lima; C. Oliveira,2011,,"2011 IEEE International Conference on Systems, Man, and Cybernetics",conference paper,,,,,1181-1186,,True,d098c91d,
3d317aef,acm,acm_extra_refs,ACM Extra Refs,,Conformance Checking of Software Development Processes Through Process Mining,Artini M. Lemos; Caio C. Sabino; R. Lima; C. Oliveira,2011,,,conference paper,,,,,654-659,,True,f449ac41,
142aa8c7,acm,acm_extra_refs,ACM Extra Refs,10.1007/s41060-022-00379-0,"Process Mining: Software Comparison, Trends, and Challenges",O. Loyola-González,2022,,International Journal of Data Science and Analytics,article,,,15,,407-420,,False,,
72ca642b,acm,acm_extra_refs,ACM Extra Refs,10.1007/s10639-021-10564-6,Using Process Mining for Git Log Analysis of Projects in a Software Development Course,M. Mačák; Daniela Kruzelova; Stanislav Chren; Barbora Buhnova,2021,,Education and Information Technologies,article,,,26,,5939-5969,,True,dde62dae,
68413c62,acm,acm_extra_refs,ACM Extra Refs,10.1109/cbi.2018.00021,Assessing Agile Software Development Processes with Process Mining: A Case Study,Rita Marques; M. Silva; D. R. Ferreira,2018,,2018 IEEE 20th Conference on Business Informatics (CBI),conference paper,,,1,,109-118,,True,04ab260e,
3a8ae6e8,acm,acm_extra_refs,ACM Extra Refs,10.1016/j.infsof.2023.107392,Process Mining Software Engineering Practices: A Case Study for Deployment Pipelines,A. Nogueira; M. Z. Rela,2023,,Information and Software Technology,article,,,168,,107392,,True,2349bd7b,
8ea46c1d,acm,acm_extra_refs,ACM Extra Refs,10.1002/smr.2162,Monitoring the Software Bug-Fixing Process Through the Process Mining Approach,Güzin Özdağoğlu; Ece Kavuncubasi,2019,,Journal of Software: Evolution and Process,article,,,31,,,,False,,
c7ba1855,acm,acm_extra_refs,ACM Extra Refs,10.4018/irmj.373155,Process Mining for IS Project Management,Joana Pedrosa; L. Magalhães; Ricardo Martinho,2025,,Information Resources Management Journal,article,,,,,,,True,bec60ac3,
e61140c4,acm,acm_extra_refs,ACM Extra Refs,10.1109/csmr.2011.5,Process Mining Software Repositories,Wouter Poncin; Alexander Serebrenik; M. Brand,2011,,2011 15th European Conference on Software Maintenance and Reengineering,conference paper,,,,,5-14,,True,c517c93f,
0f2b9a08,acm,acm_extra_refs,ACM Extra Refs,10.24018/ejeng.2023.8.5.3089,Process Mining Applied in a Software Project Development with SCRUM and ProM,Ezequiel O. Ramos; Rogério Rossi,2023,,European Journal of Engineering and Technology Research,article,,,,,,,True,a88acaff,
12484962,acm,acm_extra_refs,ACM Extra Refs,10.15514/ispras-2023-35(3)-13,Using Process Mining to Leverage the Development of a Family of Mobile Applications,Lyudmila Alexandrovna Rezunik; Alisa Igorevna Perevoznikova; Daria Valerievna Eremina; A. Mitsyuk,2023,,Proceedings of the Institute for System Programming of the RAS,article,,,,,,,False,,
ba0d8004,acm,acm_extra_refs,ACM Extra Refs,10.1145/2652524.2652583,Process Mining Can Be Applied to Software Too!,V. Rubin; A. Mitsyuk; I. Lomazova; Wil M.P. van der Aalst,2014,,,conference paper,,,,,57:1-57:8,,True,e69d723f,
7074215f,acm,acm_extra_refs,ACM Extra Refs,10.1007/978-3-540-72426-1_15,Process Mining Framework for Software Processes,V. Rubin; C. Günther; Wil M.P. van der Aalst; E. Kindler; B. V. Dongen; Wilhelm Schäfer,2007,,,chapter,,,,,169-181,,True,3ddbfd94,
944bf3ac,acm,acm_extra_refs,ACM Extra Refs,10.1145/2600821.2600842,Agile Development with Software Process Mining,V. Rubin; I. Lomazova; Wil M.P. van der Aalst,2014,,,chapter,,,,,,Proceedings of the 2014 International Conference on Software and System Process,True,8c42d0fe,
4fa52f6f,acm,acm_extra_refs,ACM Extra Refs,10.1007/s11219-010-9105-8,Toward Objective Software Process Information: Experiences from a Case Study,Jana Samalikova; R. Kusters; J. Trienekens; Ton Weijters; Paul Siemons,2011,,Software Quality Journal,article,,,19,,101-120,,True,63eacbed,
6b04d181,acm,acm_extra_refs,ACM Extra Refs,,A Process Mining Approach in Software Development and Testing Process: A Case Study,Rabia Saylam; O. K. Sahingoz,2014,,,article,,,,,,,True,c9cdb64d,
ec19a5d4,acm,acm_extra_refs,ACM Extra Refs,10.1109/saci.2014.6840098,Applied Process Mining in Software Development,Maria Laura Sebu; H. Ciocarlie,2014,,2014 IEEE 9th International Symposium on Applied Computational Intelligence and Informatics (SACI),conference paper,,,,,55-60,,True,e58074e0,
b466b612,acm,acm_extra_refs,ACM Extra Refs,10.1142/s0218194022400010,Identifying Possible Improvements of Software Development Life Cycle (SDLC) Process of a Bank by Using Process Mining,Sedat Taskesenlioglu; N. Ozkan; T. Erdogan,2022,,International Journal of Software Engineering and Knowledge Engineering,article,,,32,,525-552,,True,82fd1b28,
8151c191,acm,acm_extra_refs,ACM Extra Refs,10.3390/app14041402,Applying Process Mining: The Reality of a Software Development SME,Silvia Jaqueline Urrea-Contreras; M. A. Astorga-Vargas; B. Flores-Rios; J. E. Ibarra-Esquer; F. F. González-Navarro; Ivan Antonio García Pacheco; Carla Leninca Pacheco Agüero,2024,,Applied Sciences,article,,,,,,,True,3665efbb,
96c58101,acm,acm_extra_refs,ACM Extra Refs,10.1109/conisoft55708.2022.00022,"Process Mining Model Integrated with Control Flow, Case, Organizational and Time Perspectives in a Software Development Project",Silvia Jaqueline Urrea-Contreras; B. Flores-Rios; F. F. González-Navarro; M. A. Astorga-Vargas; J. E. Ibarra-Esquer; I. G. Pacheco; Carla L. Pacheco Agüero,2022,,2022 10th International Conference in Software Engineering Research and Innovation (CONISOFT),conference paper,,,,,92-101,,True,7eebcd00,
877e7101,acm,acm_extra_refs,ACM Extra Refs,10.1109/enc53357.2021.9534824,Process Mining Perspectives in Software Engineering: A Systematic Literature Review,Silvia Jaqueline Urrea-Contreras; B. Flores-Rios; María Angélica Astorga-Vargas; J. E. Ibarra-Esquer,2021,,2021 Mexican International Conference on Computer Science (ENC),conference paper,,,,,1-8,,True,09b21c45,
14688531,acm,acm_extra_refs,ACM Extra Refs,10.1002/smr.2438,Software Process Evaluation from User Perceptions and Log Data,Damjan Vavpotič; Saimir Bala; J. Mendling; T. Hovelja,2022,,Journal of Software: Evolution and Process,article,,,34,,,,True,741b52c5,
77d877f4,acm,acm_extra_refs,ACM Extra Refs,10.14569/ijacsa.2016.070239,The Discovery of the Implemented Software Engineering Process Using Process Mining Techniques,M. Zayed; A. Farid,2016,,International Journal of Advanced Computer Science and Applications,article,,,7,,,,True,4dc479a6,
2762d523,acm,acm_principal,ACM Principal,10.1109/ICSSP.2019.00020,Evaluating Coding Behavior in Software Development Processes: A Process Mining Approach,"Ardimento, Pasquale; Bernardi, Mario Luca; Cimitile, Marta; Maggi, Fabrizio Maria",2019,,Proceedings of the International Conference on Software and System Processes (ICSSP '19),conference paper,,,,,84--93,,True,fe2a5e1c,
829f8c13,acm,acm_principal,ACM Principal,10.1145/2590748.2590749,"Nirikshan: Mining Bug Report History for Discovering Process Maps, Inefficiencies and Inconsistencies","Gupta, Monika; Sureka, Ashish",2014,,Proceedings of the 7th India Software Engineering Conference (ISEC '14),conference paper,,,,,1--10,ACM,True,1f427503,
3f99a9fa,acm,acm_principal,ACM Principal,10.1145/3695750.3695822,Automatic Generation of Logical Specifications for Behavioural Models,"Klimek, Radoslaw; Witek, Julia",2024,,Proceedings of the 2024 Workshop on Replications and Negative Results (RENE '24),conference paper,,,,,1--7,ACM,True,e16686e8,
3e429780,acm,acm_principal,ACM Principal,10.1145/3691621.3694927,Automatic Generation of Logical Specifications for Behavioural Models,"Klimek, Radoslaw; Witek, Julia",2024,,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW '24),conference paper,,,,,1--7,ACM,True,de5d6423,
d1ed6154,acm,acm_principal,ACM Principal,10.1145/2591062.2591080,"Nirikshan: Process Mining Software Repositories to Identify Inefficiencies, Imperfections, and Enhance Existing Process Capabilities","Gupta, Monika",2014,,Companion Proceedings of the 36th International Conference on Software Engineering (ICSE Companion 2014),conference paper,,,,,658--661,ACM,True,65ef350b,
6fd30d7e,acm,acm_principal,ACM Principal,10.1145/2591062.2591152,Process Mining Software Repositories from Student Projects in an Undergraduate Software Engineering Course,"Mittal, Megha; Sureka, Ashish",2014,,Companion Proceedings of the 36th International Conference on Software Engineering (ICSE Companion 2014),conference paper,,,,,344--353,ACM,True,e54a7dad,
2ee3dc10,acm,acm_principal,ACM Principal,10.1145/2723742.2723763,Ahaan: Software Process Intelligence: Mining Software Process Data for Extracting Actionable Information,"Sureka, Ashish; Kumar, Atul; Gupta, Shrinath",2015,,Proceedings of the 8th India Software Engineering Conference (ISEC '15),conference paper,,,,,198--199,ACM,False,,
8c42d0fe,acm,acm_principal,ACM Principal,10.1145/2600821.2600842,Agile Development with Software Process Mining,"Rubin, Vladimir; Lomazova, Irina; van der Aalst, Wil M. P.",2014,,Proceedings of the 2014 International Conference on Software and System Process (ICSSP '14),conference paper,,,,,70--74,ACM,False,,
50d875ff,acm,acm_principal,ACM Principal,10.1145/3275245.3275286,Kanban and Process Mining in the Task Management,"Mendes, Vitor; Faria Junior, Elio Ribeiro; Garcia, Cleiton; Malucelli, Andreia",2018,,Proceedings of the XVII Brazilian Symposium on Software Quality (SBQS '18),conference paper,,,,,269--278,ACM,True,ab39dd98,
e23bbc10,acm,acm_principal,ACM Principal,10.1145/2695664.2696046,Mining Software Development Process Variations,"Santos, Renata M. S.; Oliveira, Toacy C.; Abreu, Fernando Brito e",2015,,Proceedings of the 30th Annual ACM Symposium on Applied Computing (SAC '15),conference paper,,,,,1657--1660,ACM,True,d32effe8,
803096b6,acm,acm_principal,ACM Principal,10.1145/3486622.0000004,Modular Design Patterns for Systems that Learn and Reason,"van Harmelen, Frank",2022,,IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT '21),conference paper,,,,,4,ACM,False,,
0803f194,acm,acm_principal,ACM Principal,10.1145/2904354.2904368,Exploring the Impact of Situational Context: A Case Study of a Software Development Process for a Microservices Architecture,"O'Connor, Rory V.; Elger, Peter; Clarke, Paul M.",2016,,Proceedings of the International Conference on Software and Systems Process (ICSSP '16),conference paper,,,,,6--10,ACM,True,7a95f96f,
b9b17dfb,acm,acm_principal,ACM Principal,,Identifying Software Process Management Challenges: Survey of Practitioners in a Large Global IT Company,"Gupta, Monika; Sureka, Ashish; Padmanabhuni, Srinivas; others",2015,,Proceedings of the 12th Working Conference on Mining Software Repositories (MSR '15),conference paper,,,,,346--356,,True,a6c6358f,
37b22a16,acm,acm_principal,ACM Principal,10.1145/2889160.2889267,Mining Software Process Lines,"Rojas Blum, Fabian",2016,,Proceedings of the 38th International Conference on Software Engineering Companion (ICSE '16),conference paper,,,,,839--842,ACM,True,89ad8e3a,
b7022ac2,acm,acm_principal,ACM Principal,10.1145/3387904.3389294,Understanding What Software Engineers Are Working on: The Work-Item Prediction Challenge,"Lämmel, Ralf; Kerber, Alvin; Praza, Liane",2020,,Proceedings of the 28th International Conference on Program Comprehension (ICPC '20),conference paper,,,,,416--424,ACM,True,a076177d,
0f5a8ea4,acm,acm_principal,ACM Principal,,Fourth Annual Workshop on Data-Driven Knowledge Mobilization,"Noei, Ehsan; Lyons, Kelly; Stroulia, Eleni; Andritsos, Periklis",2019,,Proceedings of the 29th Annual International Conference on Computer Science and Software Engineering (CASCON '19),conference paper,,,,,378--379,,False,,
32b39476,acm,acm_principal,ACM Principal,10.1145/3017680.3017716,Understanding Student Interactions in Capstone Courses to Improve Learning Experiences,"Neyem, Andres; Diaz-Mosquera, Juan; Munoz-Gama, Jorge; Navon, Jaime",2017,,Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education (SIGCSE '17),conference paper,,,,,423--428,ACM,True,b940a63a,
3231578f,acm,acm_principal,ACM Principal,10.1145/2597073.2597081,Process Mining Multiple Repositories for Software Defect Resolution from Control and Organizational Perspective,"Gupta, Monika; Sureka, Ashish; Padmanabhuni, Srinivas",2014,,Proceedings of the 11th Working Conference on Mining Software Repositories (MSR 2014),conference paper,,,,,122--131,ACM,False,,
79023ad0,acm,acm_principal,ACM Principal,10.1145/3387909,Monotone Precision and Recall Measures for Comparing Executions and Specifications of Dynamic Systems,"Polyvyanyy, Artem; Solti, Andreas; Weidlich, Matthias; Di Ciccio, Claudio; Mendling, Jan",2020,,ACM Transactions on Software Engineering and Methodology (TOSEM),article,,,29,3,1--41,ACM,True,88c881a9,
08d64489,acm,acm_principal,ACM Principal,10.1145/3084100.3084103,Mining Collaboration Patterns of Software Development Processes Based on Trace Alignment,"Yu, Dongjin; Wang, Jiaojiao",2017,,Proceedings of the 2017 International Conference on Software and System Process (ICSSP '17),conference paper,,,,,15--24,ACM,True,d5b81753,
ac56abe2,acm,acm_principal,ACM Principal,10.1145/3331155,Behavioral Petri Net Mining and Automated Analysis for Human-Computer Interaction Recommendations in Multi-Application Environments,"Theis, Julian; Darabi, Houshang",2019,,Proceedings of the ACM on Human-Computer Interaction (PACMHCI),article,,,3,EICS,1--16,ACM,False,,
410a31ce,acm,acm_principal,ACM Principal,10.1145/2832987.2833075,Clustering Software Project Components for Strategic Decisions and Building Reuse Libraries,"Srinivas, Chintakindi; Radhakrishna, Vangipuram; Rao, C. V. Guru",2015,,Proceedings of the International Conference on Engineering and MIS (ICEMIS '15),conference paper,,,,,1--5,ACM,False,,
7e6b3f9f,acm,acm_principal,ACM Principal,10.1145/1809980.1810047,Uma Experiência em Mineração de Processos de Manutenção de Software,"Cruz, John Igor B. da; Ruiz, Duncan",2008,,Companion Proceedings of the XIV Brazilian Symposium on Multimedia and the Web (WebMedia '08),conference paper,,,,,247--253,ACM,False,,
07e55287,acm,acm_principal,ACM Principal,10.1145/287000.287001,Discovering Models of Software Processes from Event-Based Data,"Cook, Jonathan E.; Wolf, Alexander L.",1998,,ACM Transactions on Software Engineering and Methodology (TOSEM),article,,,7,3,215--249,ACM,False,,
4f816525,ieee,ieee_manual_01,IEEE Manual 01,10.1109/QUATIC.2016.061,"Software Development Process Mining: Discovery, Conformance Checking and Enhancement","Caldeira, João; Abreu, Fernando Brito e",2016,"Software development has become a fundamental process on any business or organization. As a consequence, together with other emergent technologies, new development platforms (IDEs) are being created, mainly in the cloud (e.g., Eclipse Orion, Cloud9, Codio), requiring different approaches on the way software development can be studied. Empirical studies on software development most often are based on data taken from software configuration management repositories, source code management systems and issue tracking tools, but not from the IDEs themselves, because they do not record data publically regarding developers’ activities. We aim to bring forward new insights on the software development process by analyzing how developers use their IDE. Based upon process mining techniques such as process discovery and conformance checking, this missing perspective will hopefully allow the discovery of coding patterns, the search for programmer behaviors and the detection of deviations from prescribed processes. Finally, we expect to provide advice for individual software process enhancement.",2016 10th International Conference on the Quality of Information and Communications Technology (QUATIC),conference paper,Software development management; Process mining; Organizations; Codes; Programming; Soft sensors; Real-time systems; Capability maturity model; Big Data; Agile software development; software development; software process; process mining; pattern discovery; software engineering,,,,254-259,,False,,
384b17c3,ieee,ieee_manual_01,IEEE Manual 01,,Agile Development for Vulnerable Populations: Lessons Learned and Recommendations,"Baez, Marcos; Casati, Fabio",2018,"In this paper we draw attention to the challenges of managing software projects for vulnerable populations, i.e., people potentially exposed to harm or not capable of protecting their own interests. The focus on human aspects, and particularly, the inclusion of human-centered approaches, has been a popular topic in the soft-ware engineering community. We argue, however, that current literature provides little understanding and guidance on how to approach these type of scenarios. Here, we shed some light on the topic by reporting on our experiences in developing innovative solutions for the residential care scenario, outlining potential issues and recommendations.",2018 IEEE/ACM 40th International Conference on Software Engineering: Software Engineering in Society (ICSE-SEIS),conference paper,Sociology; Statistics; Software; Software engineering; Collaboration; Tools; Stakeholders; Agile development; human centered design; vulnerable populations,,,,33-36,,False,,
856e84f2,ieee,ieee_manual_01,IEEE Manual 01,10.1109/CLEI.2018.00072,Using Process Mining in Agile Software Development Methodologies: A Systematic Mapping Study,"Arias, Michael; Marques, Maíra R; Rojas, Eric",2018,"The structure and the way in which organizations manage their projects have evolved. Agile software development has emerged as an alternative to manage projects management processes more efficiently. Process mining allows the analysis of project historical information and proposing improvements for agile processes. A systematic mapping study (SMS) was conducted to classify the proposed approaches in agile development methodologies that uses process mining. A total of 502 studies were identified, and finally 6 studies were selected and analyzed according to distinct aspects. Conference proceedings is the most common venue. There is a concentration of approaches published that comes from Asia and Europe. Disco tool is the most frequently used tool. Meanwhile, the process discovery being the most relevant process mining type used by researchers in this research area. There are two evaluation methods reported as being used: case study and running example, where Scrum is the most frequently methodology used. To the best of our knowledge, this is the first research that has been conducted to generate a SMS in this research area.",2018 XLIV Latin American Computer Conference (CLEI),conference paper,Data mining; Software; Agile software development; Tools; Systematics; Business; Databases; Process mining; project management; agile development methodology; agile method; systematic mapping study,,,,552-561,,False,,
6500fd93,ieee,ieee_manual_01,IEEE Manual 01,10.1109/CoG60054.2024.10645544,Process Mining for Game Analytics,"Elbert, Nico; Flath, Christoph M.",2024,"This paper explores the integration of process mining techniques and the User Behavior Mining (UBM) Framework within game analytics, using a expansive dataset from Age of Empires II. We demonstrate how these methodologies can be used to systematically analyze and interpret complex player behaviors across various skill levels. Employing techniques such as trace clustering and directly-follows-graphs, we identify distinct behavioral patterns and quantify differences in strategy adherence. Additionally, conformance checking reveals the impact of deviations from standard build orders on game outcomes. Our findings underscore the potential of PM and UBM as powerful diagnostic tools in game analytics, offering scalable and structured approaches to enhance player interaction understanding. The successful application of these methodologies not only introduces a scalable and structured approach to quantifying complex player dynamics but also opens up the entire range of process mining methodologies, algorithms, and software solutions available. This advancement enables the gaming industry to leverage sophisticated analytical tools previously confined to other domains.",2024 IEEE Conference on Games (CoG),conference paper,Process mining; Industries; Heuristic algorithms; Software algorithms; Games; Software; Standards; Process Mining; User Behavior Mining; Game Analytics; Player Behavior Analysis; Conformance Checking,,,,1-4,,False,,
d098c91d,ieee,ieee_manual_01,IEEE Manual 01,10.1109/ICSMC.2011.6083858,Using process mining in software development process management: A case study,"Lemos, Artini M.; Sabino, Caio C.; Lima, Ricardo M. F.; Oliveira, Cesar A. L.",2011,"In this paper we describe the application of process mining techniques to analyze a software development process. Software engineering practitioners often conduct quality auditing of the development process to assure conformance with organizational standards. Despite some works have explored process mining techniques for the conformance analysis of general business processes, it is not of our knowledge any study that applies process mining to conformance checking of software development processes. Under a practical perspective, this paper explores a real database with event logs generated in the past five years of execution of a software development process. The database was gently provided by a Brazilian software house with annual revenue of more than US$ 500 million and includes more than 2,000 cases (process instances). The results show that process mining can be effectively employed as a supporting tool for the management of software development processes and for the improvement of the maturity level of software engineering organizations.","2011 IEEE International Conference on Systems, Man, and Cybernetics",conference paper,Data mining; PROM; Programming; Process control; Software; Databases; Companies; process mining; software development process; conformance checking,,,,1181-1186,,False,,
