id,title,authors,year,venue,abstract,pdf_path
deoliveirara_2026,“Bottleneck Analysis in Software Development: A Case Study Using Process Mining”,de Oliveira R.A.,2026,Lecture Notes in Computer Science,,
stepanove_2026,Continuous software monitoring backed by process mining: a systematic literature review,Stepanov E.,2026,International Journal of Data Science and Analytics,,
vitalef_2026,Architecting software monitors for control-flow anomaly detection through large language models and conformance checking,Vitale F.,2026,Information and Software Technology,"Context: Ensuring high levels of dependability in modern computer-based systems has become increasingly challenging due to their complexity. Although systems are validated at design time, their behavior can be different at runtime, possibly showing control-flow anomalies due to ``unknown unknowns''. Objective: We aim to detect control-flow anomalies through software monitoring, which verifies runtime behavior by logging software execution and detecting deviations from expected control flow. Methods: We propose a methodology to develop software monitors for control-flow anomaly detection through Large Language Models (LLMs) and conformance checking. The methodology builds on existing software development practices to maintain traditional V\&V while providing an additional level of robustness and trustworthiness. It leverages LLMs to link design-time models and implementation code, automating source-code instrumentation. The resulting event logs are analyzed via conformance checking, an explainable and effective technique for control-flow anomaly detection. Results: We test the methodology on a case-study scenario from the European Railway Traffic Management System / European Train Control System (ERTMS/ETCS), which is a railway standard for modern interoperable railways. The results obtained from the ERTMS/ETCS case study demonstrate that LLM-based source-code instrumentation can achieve up to 82.849% control-flow coverage of the reference design-time process model, while the subsequent conformance checking-based anomaly detection reaches a peak performance of 95.957% F1-score and 93.669% AUC. Conclusion: Incorporating domain-specific knowledge to guide LLMs in source-code instrumentation significantly allowed obtaining reliable and quality software logs and enabled effective control-flow anomaly detection through conformance checking.",/home/user/SLR-Agente/results/extraction/pdfs/1-s2.0-S0950584926001229-main.pdf
paradis_2025,Towards Streamlining Auditing for Compliance with Requirements in Open-Source Software at NASA,"Paradis, Carlos; Perez, Ivan; Davies, Misty",2025,2025 AIAA DATC/IEEE 44th Digital Avionics Systems Conference (DASC),"Context: Software that operates in critical environments must be developed and maintained following strict software engineering and development processes. The instantiation of such processes may vary per project; however, once decided upon, projects must undergo audits to evaluate compliance with such requirements. Aim: We propose that audit effort can be reduced when requirements are realized by leveraging commonly used opensource infrastructure for version control, issue tracking and continuous integration, and the generated records are analyzed using a repository mining software tool to quantify process compliance. Method: We perform a case study in the NASA-funded Copilot project, utilizing Kaiaulu, a repository mining software tool. We define four software compliance metrics based on the Copilot's requirements, and analyze their impact on source code quality. Results: Our work demonstrates how it is possible to leverage existing open source tools and platforms to facilitate software certification and qualification, and to streamline the auditing process required even when stringent requirements must be enforced. Conclusion: Together, both project and tool can be utilized to visualize project compliance, and metrics can be defined to more easily identify process irregularities to minimize auditing efforts. Project Repository: github.com/Copilot-Language/copilot Tool Repository: github.com/sailuh/kaiaulu",/home/user/SLR-Agente/results/extraction/pdfs/Towards_Streamlining_Auditing_for_Compliance_with_Requirements_in_Open-Source_Software_at_NASA.pdf
incertoe_2025,Stochastic conformance checking based on variable-length Markov chains,Incerto E.,2025,Information Systems,"Conformance checking is central in process mining (PM). It studies deviations of logs from reference processes. Originally, the proposed approaches did not focus on stochastic aspects of the underlying process, and gave qualitative models as output. Recently, these have been extended in approaches for stochastic conformance checking (SCC), giving quantitative models as output. A different community, namely the software performance engineering (PE) one, interested in the synthesis of stochastic processes since decades, has developed independently techniques to synthesize Markov Chains (MC) that describe the stochastic process underlying program runs. However, these were never applied to SCC problems. We propose a novel approach to SCC based on PE results for the synthesis of stochastic processes. Thanks to a rich experimental evaluation, we show that it outperforms the state-of-the-art. In doing so, we further bridge PE and PM, fostering cross-fertilization. We use techniques for the synthesis of Variable-length MC (VLMC), higher-order MC able to compactly encode complex path dependencies in the control-flow. VLMCs are equipped with a notion of likelihood that a trace belongs to a model. We use it to perform SCC of a log against a model. We establish the degree of conformance by equipping VLMCs with uEMSC, a standard conformance measure in the SCC literature. We compare with 18 SCC techniques from the PM literature, using 11 benchmark datasets from the PM community. We outperform all approaches in 10 out of 11 datasets, i.e., we get uEMSC values closer to 1 for logs conforming to a model. Furthermore, we show that VLMC are efficient, as they handled all considered datasets in a few seconds.",/home/user/SLR-Agente/results/extraction/pdfs/1-s2.0-S0306437925000456-main.pdf
dasilvakoa_2025,Process mining for agile software process assessment and improvement,da Silva K.O.A.,2025,Information and Software Technology,,
guineacabrera_2025,PRIMAD: Building Digital Twins for Software Development Lifecycle within an Evolutionary Architecture,"Guinea-Cabrera, Miguel Ángel; Holgado-Terriza, Juan Antonio; Pico-Valencia, Pablo A.",2025,2025 IEEE Smart World Congress (SWC),"Current Digital Twin (DT) adoption in the Software Development Lifecycle (SDLC) faces significant hurdles, including a lack of standardized methods, limited research, and isolated use cases. Optimizing value streams is crucial for modern software organizations, which are increasingly characterized by diverse and evolving roles. Implementing a digital twin in this context can significantly enhance the ability to identify opportunities for improvement and explore potential change scenarios. To overcome these adoption barriers, we propose PRIMAD, a progressive methodology for building an SDLC DT that delivers incremental benefits by leveraging existing empirical data from issue-tracking systems, such as JIRA. This approach resolves the ""cold start"" problem, enabling simulations to emerge directly from real-world behavior. Our methodology integrates a Python-based simulation core with an Akka actor system for modeling issues and resources, enriched by supervised machine learning for context-aware predictions. Preliminary results validating PRIMAD components independently (using pm4py, Akka, and LightGBM) show promising outcomes. This paper details our methodology, presents preliminary component-wise results, and outlines future work.",/home/user/SLR-Agente/results/extraction/pdfs/PRIMAD_Building_Digital_Twins_for_Software_Development_Lifecycle_within_an_Evolutionary_Architecture.pdf
sangb_2025,Mining and Assessing Issue Resolution Processes in Open Source Software Repositories,Sang B.,2025,Proceedings of the International Conference on Computer Supported Cooperative Work in Design Cscwd,"Resolving issues is a key activity in open-source software (OSS) development, but the ad hoc nature of issue handling on platforms like GitHub makes it challenging to understand the underlying processes of issue resolution, how well such processes are organized, and how to effectively improve issue resolution efficiency. In this work, we quantitatively examine the relationship between issues' organization levels, modeled as process uncertainties, and resolution efficiency measured by issue lifetime and event transition time. We propose an information-theoretical approach to assess the uncertainty lies in issue processing by calculating the entropy of Direct Follow Graphs (DFGs) that represent issue processes. Instead of performing analysis on a project's all issues as a whole, which may lead to over complex models, we find concise yet representative DFG-based models for a project's issues with an entropy-guided KMeans++ clustering algorithm. Findings from real-world OSS projects' issues suggest that higher process uncertainty of issues is associated with longer issue lifetime and extended event transition time. The result also indicates that enhancing issue process organization can potentially improve issue resolution efficiency.",
aitmansour_2025,MINDS: An NLP-Driven Process Mining Framework for Superior Microservices Decomposition,"Ait Mansour, Nassima; Sbai, Hanae; Baïna, Karim",2025,IEEE Access,"The decomposition of monolithic applications into microservice architectures is one of the most challenging tasks in modern software engineering, requiring architects to balance functional cohesion, minimize coupling, and preserve business logic integrity. Existing approaches rely on static analysis or single-dimensional criteria, failing to leverage business domain semantics and behavioral insights from system execution. This paper introduces the Microservices Identification through Natural language and Dynamic Sequence analysis (MINDS) framework, a novel approach that integrates inductive mining with natural language processing to achieve superior automated microservice decomposition. MINDS functions via a five-phase pipeline: input data are loaded by extracting user traces using our algorithm to build an event log. Natural Language Processing (NLP) preprocessing employs semantic classification to discern business domain concepts and categorize activities based on functional relationships; inductive mining derives behavioral models from event logs within each domain cluster; post-processing examines process trees to pinpoint optimal decomposition points according to structural complexity and quality metrics; and documentation generation creates detailed microservice specifications encompassing Business Process Model and Notation (BPMN) models and Application Programming Interface (API) definitions. We evaluated MINDS for four applications using event logs with 6,000 activities each. MINDS effectively outperformed the prominent approaches for all the quality parameters. The cohesion scores, coupling metrics, and process mining quality metrics exceeded the thresholds for fitness and precision scores. MINDS enhances automated microservices decomposition through methodological innovation and superior empirical performance. The combination of process mining and natural language processing facilitates the discovery of service boundaries that align with the execution patterns and business domain concepts.",/home/user/SLR-Agente/results/extraction/pdfs/MINDS_An_NLP-Driven_Process_Mining_Framework_for_Superior_Microservices_Decomposition.pdf
buligaa_2025,Enhanced What-If Scenarios Generation by Bridging Generative Models and Process Simulation,Buliga A.,2025,Proceedings 2025 7th International Conference on Process Mining Icpm 2025,"Generative Artificial Intelligence (GenAI) techniques have recently emerged as promising tools for challenges in Process Mining such as missing data, small datasets, and the generation of complex what-if scenarios. A major limitation of current approaches is their inability to produce sets of process traces in a mutually dependent manner. Traces are generated independently, failing to reflect crucial process-level phenomena such as concurrency, resource contention, and workload distribution. This limitation significantly reduces the realism and utility of generated logs, yet has received limited attention in the literature. In contrast, Business Process Simulation (BPS) excels at preserving process constraints and interdependencies. However, in the presence of specific or complex what-if scenarios, this requires the adjustment of several simulation parameters, which can be challenging to achieve. Motivated by these issues, where generative methods lack consistency and BPS methods lack flexibility, we propose a novel data generation framework combining GenAI with BPS. The proposed approach enables generating diverse and complex whatif scenarios via data-driven generative models, which are then validated and refined through BPS to ensure consistency and feasibility at the log level. We call the approach What-If Scenarios via Data-driven generative mOdels and siMulation (WISDOM). We compare several existing methods for process data generation and assess their outputs using an established evaluation framework. Results show that while generative methods fail to capture the full intricacies of process behaviour, their integration with BPS produces traces that are both diverse and compliant with process constraints. This hybrid approach addresses a critical gap in the literature and opens new avenues for robust, simulation-grounded generation methods in process mining.",/home/user/SLR-Agente/results/extraction/pdfs/Enhanced_What-If_Scenarios_Generation_by_Bridging_Generative_Models_and_Process_Simulation.pdf
