seed_iid,direction,title,year,doi,abstract,venue
d0c47271,forward,Toward Efficient Support for Business Process Event Log Sampling,2026.0,10.1109/TSC.2026.3665370,"Large volumes of event logs have been accumulated by business information systems. Accompanied by that, various process discovery techniques are invented to uncover underlying business processes based on event logs. Event log sampling, recognized as one of the most effective techniques for accelerating discovery efficiency, has gained significant attention in recent days. However, achieving high performance in sampling while maintaining superior sample log quality remains a challenge for current techniques. To tackle the problem, a novel event log sampling technique, denoted as sigRank, is introduced to improve both the sampling efficiency and the quality of the sample log by quantifying the significance of each trace. The proposed sampling technique has been implemented as a publicly available tool in the open-source process mining platform ProM. Compared with state-of-the-art techniques using 12 public event logs, we experimentally illustrate that the proposed approach can significantly accelerate sampling efficiency while guaranteeing superior sample log quality for process discovery.",IEEE Transactions on Services Computing
d0c47271,forward,Continuous software monitoring backed by process mining: a systematic literature review,2026.0,10.1007/s41060-025-01000-w,,International Journal of Data Science and Analysis
d0c47271,forward,Modeling and Performance Optimization for Complex Workflow in IoT,2025.0,10.28991/esj-2025-09-05-02,"This study addresses the growing challenge of time scheduling in Internet of Things (IoT) workflows, where efficiency in time utilization and resource profitability is increasingly constrained by uncertainty. Real-world workflows are characterized by non-deterministic activity execution and resource preparation times, yet existing research often neglects these fundamental dynamics when modeling IoT-based processes. To bridge this gap, we propose a comprehensive modeling and performance optimization framework that explicitly incorporates uncertainty. Methodologically, the framework introduces two distinct types of places to represent activities and resources, with resource properties capturing reusability and preparation processes abstracted as specialized activities. For workflow activities, timing functions are defined to model minimum and maximum execution times, enabling the computation of earliest and latest start times and the identification of critical activities driving overall workflow duration. To mitigate resource conflicts during execution, three alternative resolution strategies are developed and systematically evaluated. Results demonstrate that the proposed approach effectively identifies optimal scheduling strategies under uncertainty, enhancing both temporal efficiency and resource utilization. A workflow case study illustrates the applicability of the framework, offering methodological and practical insights for designing resilient IoT workflow scheduling systems in complex, real-world environments.",Emerging Science Journal
d0c47271,forward,A Review of Natural-Language-Instructed Robot Execution Systems,2024.0,10.3390/ai5030048,"It is natural and efficient to use human natural language (NL) directly to instruct robot task executions without prior user knowledge of instruction patterns. Currently, NL-instructed robot execution (NLexe) is employed in various robotic scenarios, including manufacturing, daily assistance, and health caregiving. It is imperative to summarize the current NLexe systems and discuss future development trends to provide valuable insights for upcoming NLexe research. This review categorizes NLexe systems into four types based on the robot’s cognition level during task execution: NL-based execution control systems, NL-based execution training systems, NL-based interactive execution systems, and NL-based social execution systems. For each type of NLexe system, typical application scenarios with advantages, disadvantages, and open problems are introduced. Then, typical implementation methods and future research trends of NLexe systems are discussed to guide the future NLexe research.",Applied Informatics
d0c47271,forward,Discovering Hierarchical Multi-Instance Business Processes From Event Logs,2024.0,10.1109/TSC.2023.3335360,"Process discovery aims to extract descriptive process models from event logs. To date, various process discovery algorithms have been proposed for different application settings. However, most of them meet challenges in handling event logs produced from hierarchical multi-instance business processes, in which multiple sub-process instances are invoked by the execution of a parent process. To address the problem, a novel approach is presented to support the discovery of hierarchical multi-instance process models. Specifically, taking event logs with multi-instance information as input, the detailed implementation of our method can be generally divided into four steps: nesting relation detection, hierarchical event log construction, sub-process case identification, and hierarchical multi-instance model discovery. We have implemented our approach properly as plugins in the openly accessible ProM toolkit, and compared its performance against the state-of-the-art process discovery approaches over six publicly available event logs. Based on the experimental result, it is demonstrated that the proposed approach can effectively discover hierarchical multi-instance process models with better quality.",IEEE Transactions on Services Computing
d0c47271,forward,A Software Execution Data Component Identification Algorithm Based on Spectral Clustering,2023.0,10.1109/DSA59317.2023.00051,"In order to understand the architecture of software system and facilitate the future maintenance of the software, we can reconstruct the software system as a component-based software system. To obtain the component information of the software, it is necessary to identify components based on the information contained in the software execution data. This paper presents a Software Execution data component identification algorithm based on Spectral Clustering (SESC). The input of the algorithm is the software execution event log, and the output is an evaluation report on the quality of the identified components, yielding the log of software execution events with component information. By using four software execution event logs, we compare the proposed SESC with five component identification algorithms based on the community detection algorithm. SESC takes the number of calls between classes into consideration, so it can identify components more accurately, and has certain advantages in time performance.",International Conferences on Dependable Systems and Their Applications
d0c47271,forward,Formal Modeling and Discovery of Hierarchical Business Processes: A Petri Net-Based Approach,2023.0,10.1109/TSMC.2022.3195869,"Business processes are critical for information systems to control workflows and deliver services. Although existing process discovery techniques can generate flat process models from business event logs, few of them have investigated the notion of hierarchy (i.e., subprocesses) yet. To fill the gap, this article first defines the concept of hierarchical Petri nets (HPNs), which can support the formal modeling and correctness verification of processes with subprocesses. Followed by that, we propose an approach which can effectively discover HPNs from event logs with lifecycle information. Moreover, to quantify the quality of discovered HPNs, details on how to transform an HPN to a classical Petri net are given such that existing metrics can be applied. All proposed approaches have been fully implemented in ProM, and experiments over both synthetic and real-life event logs demonstrate that our approach can effectively discover hierarchical process models. Specifically, compared to exiting approaches on processes discovery, our approach can generally perform better in terms of model quality.","IEEE Transactions on Systems, Man, and Cybernetics: Systems"
d0c47271,forward,Formal Modeling and Discovery of Multi-instance Business Processes: A Cloud Resource Management Case Study,2022.0,10.1109/JAS.2022.106109,"Process discovery, as one of the most challenging process analysis techniques, aims to uncover business process models from event logs. Many process discovery approaches were invented in the past twenty years; however, most of them have difficulties in handling multi-instance sub-processes. To address this challenge, we first introduce a multi-instance business process model (MBPM) to support the modeling of processes with multiple sub-process instantiations. Formal semantics of MBPMs are precisely defined by using multi-instance Petri nets (MPNs) that are an extension of Petri nets with distinguishable tokens. Then, a novel process discovery technique is developed to support the discovery of MBPMs from event logs with sub-process multi-instantiation information. In addition, we propose to measure the quality of the discovered MBPMs against the input event logs by transforming an MBPM to a classical Petri net such that existing quality metrics, e.g., fitness and precision, can be used. The proposed discovery approach is properly implemented as plugins in the ProM toolkit. Based on a cloud resource management case study, we compare our approach with the state-of-the-art process discovery techniques. The results demonstrate that our approach outperforms existing approaches to discover process models with multi-instance sub-processes.",IEEE/CAA Journal of Automatica Sinica
d0c47271,forward,A General Framework to Detect Design Patterns by Combining Static and Dynamic Analysis Techniques,2021.0,10.1142/S0218194021400027,"Design pattern detection can provide useful insights to support software comprehension. Accurate and complete detection of pattern instances are extremely important to enable software usability improvements. However, existing design pattern detection approaches and tools suffer from the following problems: incomplete description of design pattern instances, inaccurate behavioral constraint checking, and inability to support novel design patterns. This paper presents a general framework to detect design patterns while solving these issues by combining static and dynamic analysis techniques. The framework has been instantiated for typical behavioral and creational patterns, such as the observer pattern, state pattern, strategy pattern, and singleton pattern to demonstrate the applicability. Based on the open-source process mining toolkit ProM, we have developed an integrated tool that supports the whole detection process for these patterns. We applied and evaluated the framework using software execution data containing around 1,000,000 method calls generated from eight synthetic software systems and three open-source software systems. The evaluation results show that our approach can guarantee a higher precision and recall than existing approaches and can distinguish state and strategy patterns that are indistinguishable by the state-of-the-art.",International journal of software engineering and knowledge engineering
d0c47271,forward,Quantitative Evaluation of Software Component Behavior Discovery Approach,2021.0,10.1587/transinf.2020mpl0001,"SUMMARY During the execution of software systems, their execution data can be recorded. By fully exploiting these data, software practitioners can discover behavioral models describing the actual execution of the underlying software system. The recorded unstructured software execution data may be too complex, spanning over several days, etc. Applying existing discovery techniques results in spaghetti-like models with no clear structure and no valuable information for comprehension. Starting from the observation that a software system is composed of a set of logical components, Liu et al. propose to decompose the software behavior discovery problem into smaller independent ones by discovering a behavioral model per component in [1]. However, the e ﬀ ectiveness of the proposed approach is not fully evaluated and compared with existing approaches. In this paper, we evaluate the quality (in terms of understandability / complexity) of discovered component behavior models in a quantitative manner. Based on evaluation, we show that this approach can reduce the complexity of the discovered model and gives a better understanding.",IEICE Trans. Inf. Syst.
