internal_id,source_db,source_query_id,source_query_label,doi,title,authors,year,abstract,venue,doc_type,keywords,url,volume,issue,pages,publisher,is_duplicate,duplicate_of,selected
829f8c13,acm,acm_principal,ACM Principal,10.1145/2590748.2590749,"Nirikshan: Mining Bug Report History for Discovering Process Maps, Inefficiencies and Inconsistencies","Gupta, Monika; Sureka, Ashish",2014,,Proceedings of the 7th India Software Engineering Conference (ISEC '14),conference paper,,,,,1--10,ACM,False,,
3f99a9fa,acm,acm_principal,ACM Principal,10.1145/3695750.3695822,Automatic Generation of Logical Specifications for Behavioural Models,"Klimek, Radoslaw; Witek, Julia",2024,,Proceedings of the 2024 Workshop on Replications and Negative Results (RENE '24),conference paper,,,,,1--7,ACM,False,,
d1ed6154,acm,acm_principal,ACM Principal,10.1145/2591062.2591080,"Nirikshan: Process Mining Software Repositories to Identify Inefficiencies, Imperfections, and Enhance Existing Process Capabilities","Gupta, Monika",2014,,Companion Proceedings of the 36th International Conference on Software Engineering (ICSE Companion 2014),conference paper,,,,,658--661,ACM,False,,
6fd30d7e,acm,acm_principal,ACM Principal,10.1145/2591062.2591152,Process Mining Software Repositories from Student Projects in an Undergraduate Software Engineering Course,"Mittal, Megha; Sureka, Ashish",2014,,Companion Proceedings of the 36th International Conference on Software Engineering (ICSE Companion 2014),conference paper,,,,,344--353,ACM,False,,
2ee3dc10,acm,acm_principal,ACM Principal,10.1145/2723742.2723763,Ahaan: Software Process Intelligence: Mining Software Process Data for Extracting Actionable Information,"Sureka, Ashish; Kumar, Atul; Gupta, Shrinath",2015,,Proceedings of the 8th India Software Engineering Conference (ISEC '15),conference paper,,,,,198--199,ACM,False,,
8c42d0fe,acm,acm_principal,ACM Principal,10.1145/2600821.2600842,Agile Development with Software Process Mining,"Rubin, Vladimir; Lomazova, Irina; van der Aalst, Wil M. P.",2014,,Proceedings of the 2014 International Conference on Software and System Process (ICSSP '14),conference paper,,,,,70--74,ACM,False,,
50d875ff,acm,acm_principal,ACM Principal,10.1145/3275245.3275286,Kanban and Process Mining in the Task Management,"Mendes, Vitor; Faria Junior, Elio Ribeiro; Garcia, Cleiton; Malucelli, Andreia",2018,,Proceedings of the XVII Brazilian Symposium on Software Quality (SBQS '18),conference paper,,,,,269--278,ACM,False,,
e23bbc10,acm,acm_principal,ACM Principal,10.1145/2695664.2696046,Mining Software Development Process Variations,"Santos, Renata M. S.; Oliveira, Toacy C.; Abreu, Fernando Brito e",2015,,Proceedings of the 30th Annual ACM Symposium on Applied Computing (SAC '15),conference paper,,,,,1657--1660,ACM,False,,
803096b6,acm,acm_principal,ACM Principal,10.1145/3486622.0000004,Modular Design Patterns for Systems that Learn and Reason,"van Harmelen, Frank",2022,,IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT '21),conference paper,,,,,4,ACM,False,,
0803f194,acm,acm_principal,ACM Principal,10.1145/2904354.2904368,Exploring the Impact of Situational Context: A Case Study of a Software Development Process for a Microservices Architecture,"O'Connor, Rory V.; Elger, Peter; Clarke, Paul M.",2016,,Proceedings of the International Conference on Software and Systems Process (ICSSP '16),conference paper,,,,,6--10,ACM,False,,
37b22a16,acm,acm_principal,ACM Principal,10.1145/2889160.2889267,Mining Software Process Lines,"Rojas Blum, Fabian",2016,,Proceedings of the 38th International Conference on Software Engineering Companion (ICSE '16),conference paper,,,,,839--842,ACM,False,,
b7022ac2,acm,acm_principal,ACM Principal,10.1145/3387904.3389294,Understanding What Software Engineers Are Working on: The Work-Item Prediction Challenge,"Lämmel, Ralf; Kerber, Alvin; Praza, Liane",2020,,Proceedings of the 28th International Conference on Program Comprehension (ICPC '20),conference paper,,,,,416--424,ACM,False,,
0f5a8ea4,acm,acm_principal,ACM Principal,,Fourth Annual Workshop on Data-Driven Knowledge Mobilization,"Noei, Ehsan; Lyons, Kelly; Stroulia, Eleni; Andritsos, Periklis",2019,,Proceedings of the 29th Annual International Conference on Computer Science and Software Engineering (CASCON '19),conference paper,,,,,378--379,,False,,
32b39476,acm,acm_principal,ACM Principal,10.1145/3017680.3017716,Understanding Student Interactions in Capstone Courses to Improve Learning Experiences,"Neyem, Andres; Diaz-Mosquera, Juan; Munoz-Gama, Jorge; Navon, Jaime",2017,,Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education (SIGCSE '17),conference paper,,,,,423--428,ACM,False,,
3231578f,acm,acm_principal,ACM Principal,10.1145/2597073.2597081,Process Mining Multiple Repositories for Software Defect Resolution from Control and Organizational Perspective,"Gupta, Monika; Sureka, Ashish; Padmanabhuni, Srinivas",2014,,Proceedings of the 11th Working Conference on Mining Software Repositories (MSR 2014),conference paper,,,,,122--131,ACM,False,,
